,Popularity,Score
1301,6538,6.4
1302,5730,6.4
1303,15478,6.4
1304,8524,6.39
1305,2616,6.4
1306,5606,6.39
1307,5622,6.39
1308,1866,6.39
1309,13240,6.39
1310,3305,6.39
1311,3168,6.39
1312,5559,6.4
1313,7663,6.39
1314,3234,6.38
1315,8835,6.39
1316,11461,6.38
1317,1487,6.38
1318,8817,6.38
1319,6226,6.38
1320,11285,6.4
1321,10822,6.38
1322,9096,6.39
1323,8076,6.38
1324,8406,6.38
1325,10459,6.38
1326,11592,6.38
1327,10857,6.38
1328,8717,6.39
1329,3035,6.38
1330,10320,6.38
1331,2655,6.38
1332,5094,6.38
1333,11036,6.38
1334,7537,6.38
1335,11608,6.38
1336,2180,6.38
1337,8236,6.38
1338,9906,6.38
1339,7286,6.38
1340,7275,6.38
1341,7856,6.38
1342,7580,6.4
1343,5415,6.38
1344,7662,6.36
1345,6675,6.38
1346,10305,6.36
1347,7306,6.37
1348,3862,6.37
1349,9943,6.37
1350,7970,6.36
1351,5860,6.36
1352,9047,6.36
1353,3705,6.38
1354,10783,6.36
1355,4070,6.38
1356,12207,6.37
1357,10833,6.36
1358,10928,6.35
1359,7369,6.36
1360,9112,6.35
1361,9214,6.38
1362,7087,6.35
1363,4639,6.35
1364,11281,6.35
1365,11376,6.35
1366,8643,6.34
1367,755,6.34
1368,4700,6.35
1369,10573,6.35
1370,10812,6.35
1371,9206,6.34
1372,1938,6.34
1373,7203,6.34
1374,12646,6.35
1375,8826,6.34
1376,9443,6.32
1377,6613,6.35
1378,9802,6.34
1379,11244,6.33
1380,3775,6.33
1381,6431,6.33
1382,6213,6.34
1383,10669,6.33
1384,15037,6.33
1385,1434,6.33
1386,6157,6.33
1387,8851,6.34
1388,8744,6.33
1389,2837,6.33
1390,10448,6.32
1391,8665,6.33
1392,8104,6.33
1393,9455,6.33
1394,3313,6.33
1395,6592,6.33
1396,8489,6.33
1397,12124,6.33
1398,10842,6.33
1399,13924,6.33
1400,10406,6.33
1401,9384,6.32
1402,8343,6.33
1403,6850,6.32
1404,11339,6.33
1405,7578,6.32
1406,11660,6.33
1407,3940,6.32
1408,3139,6.33
1409,7288,6.32
1410,4480,6.32
1411,1484,6.32
1412,6729,6.31
1413,6271,6.33
1414,9750,6.3
1415,9269,6.3
1416,9681,6.3
